# Escape-hatch registry — OPS-03.
#
# Every environment variable that a SHIPPED binary reads and that can weaken,
# fake or bypass a check must have a row here. `scripts/release_identity_gate.sh`
# scans the production sources for hatch-shaped names and fails when it finds
# one that is not registered. The registry is therefore not documentation: it is
# the thing that makes adding a silent hatch a build failure rather than a
# private decision.
#
# The reason this needs a list at all: the danger is not any one override, it is
# that nobody can answer "what can an environment variable do to an installed
# client?" without reading the whole tree. That question has to be answerable in
# one file, or the answer drifts.
#
# Columns (TAB separated):
#   1 NAME          the environment variable
#   2 SURFACE       shipped-binary | build-only | frozen | test-tool
#   3 ENFORCEMENT   compiled-out | loud | silent | config
#   4 LOCATION      file:line of the read (or of the constant that names it)
#   5 NOTE          what it does and why the enforcement is what it is
#
# ENFORCEMENT meanings, and what the gate does with each:
#   compiled-out  a release build cannot honour it at all. The strongest answer.
#                 The gate requires a test that asserts this in BOTH profiles.
#   loud          honoured, but prints an unmissable line first. Acceptable for
#                 hatches whose effect the operator has to see anyway.
#   silent        honoured with no trace. NOT acceptable for anything that
#                 changes a security or hardware verdict; each row here is an
#                 open defect with a named owner, not a decision.
#   config        ordinary configuration that happens to match the name shape;
#                 it cannot weaken a check. Registered so the scan stays quiet
#                 without anyone loosening the pattern.
#
# ⚠ `frozen` rows are the ds4/ds4x code that is blocked from every build
# (CLAUDE.md hard constraint 1). They are registered so the scanner has a
# truthful answer for them, not because they can be reached.
#
NAME	SURFACE	ENFORCEMENT	LOCATION	NOTE
IDLETOKEN_UI_TEST	shipped-binary	loud	client/src-tauri/src/main.rs:885	Scripts the client's UI through the same provider calls a click uses. A non-empty parsed directive list is snapshotted once at process entry and prints a fixed "*** TEST OVERRIDE ACTIVE ***" stderr disclosure before Tauri can return any directive; unset, empty and separator-only values stay silent, and directive contents are never included in this disclosure.
IDLETOKEN_FORCE_NO_NVML	shipped-binary	loud	src/common/resource.c:97	Makes the NVML probe report no driver. On Windows it prints an explicit "*** TEST OVERRIDE ACTIVE *** ... forced by IDLETOKEN_FORCE_NO_NVML" diagnostic before returning NULL; a genuine missing driver retains the distinct "nvml.dll not found" diagnostic. Metal/Linux forced paths remain loud.
IDLETOKEN_FAKE_CC	shipped-binary	loud	src/common/resource.c:591	Replaces the reported CUDA compute capability. Prints "*** TEST OVERRIDE ***".
IDLETOKEN_FAKE_DRIVER	shipped-binary	loud	src/common/resource.c:603	Replaces the reported driver version. Prints "*** TEST OVERRIDE ***".
IDLETOKEN_FAKE_VENDOR	shipped-binary	loud	src/common/resource.c:615	Replaces the reported GPU vendor. Prints "*** TEST OVERRIDE ***".
IDLETOKEN_TEST_ENGINE_VERSION	shipped-binary	loud	src/common/enginever.c:13	Fakes the engine version used by the cluster's only invariant (G-ENGINE-VER). Prints "*** TEST OVERRIDE ***".
IDLETOKEN_TEST_USABLE_BYTES	shipped-binary	loud	src/coord/coord_main.c:8187	Fakes this node's usable memory for planner tests. Prints "*** TEST OVERRIDE ***".
IDLETOKEN_ALLOW_MOCK	shipped-binary	loud	src/worker/worker_main.c:2847	Lets a worker serve from mock weights instead of refusing. Refusal message names it; serving under it is labelled.
IDLETOKEN_MOCK_OK	shipped-binary	loud	src/coord/coord_main.c:5258	Serves a labelled mock completion when no engine is present. The reply itself carries the label, so it cannot be mistaken for inference.
IDLETOKEN_API_ALLOW_LAN	shipped-binary	loud	src/coord/coord_main.c:7998	Keeps a non-loopback API bind instead of rewriting it (hard constraint 5). Rewriting is the default and is announced; honouring it prints why.
IDLETOKEN_API_ALLOW_ORIGIN	shipped-binary	loud	src/coord/coord_main.c:4322	Disables the Origin-header CSRF refusal for people genuinely building a browser front end. The 403 body names the variable, so the operator opts in knowingly.
IDLETOKEN_ALLOW_VRAM_OVERCOMMIT	shipped-binary	loud	src/coord/llama_sidecar.c:1077	Starts the engine after it reported the model does not fit. Prints a banner.
IDLETOKEN_ALLOW_SLOW_OVERSUBSCRIBE	shipped-binary	loud	src/common/plan.c:636	Allows a placement whose working set exceeds 2x usable memory (hard constraint 8). The refusal it bypasses names it.
IDLETOKEN_ALLOW_SMALL_CLUSTER	shipped-binary	loud	src/common/plan.c	Compatibility alias for --force-cluster used by older acceptance scripts (hard constraint 8).
GGML_RPC_ALLOW_PLAINTEXT	shipped-binary	loud	vendor/llama.cpp patch 0001	Lets an rpc-server start without a PSK. Prints loudly; without it the server refuses (hard constraint 10).
IDLETOKEN_LOG_PROMPTS	shipped-binary	loud	src/coord/coord_main.c	Turns on prompt logging, which is off by default. A privacy hatch, so the log itself is the loud evidence.
